Week,Clemson (Pittjas),Florida State (Pest),North Carolina (Warren),Pittsburgh (Ricky),SMU (Doom),Notre Dame (Juice),Ohio State (Harp),Penn State (Derek),Tennessee (Cam),Washington (Gordon),Arkansas (Ezilla),Auburn (Danny),Nebraska (Phil),Ole Miss (Khalil),Texas A&M (K1ng),Texas Tech (JeskaiDad),Arizona State (Ptown),Michigan (Auto),Oregon (A hard),UCLA (Eeyore),USC (Steel),Utah (Fin),Alabama (Nekko),Florida (Willie),Georgia (Travvy),LSU (Donny),South Carolina (Allen),Texas (OP),Oklahoma (Joey),Miami (10),Indiana (4),Wisconsin (1)
Week 1,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Week 2,1500,1500,1534.900365,1500,1534.077243,1500,1500,1500,1463.78264,1500,1464.111889,1536.21736,1535.394238,1529.896156,1500,1463.78264,1500,1465.099635,1500,1464.605762,1465.922757,1500,1500,1500,1500,1500,1500,1533.418745,1500,1500,1500,1500
Week 3,1463.78264,1459.364789,1497.223354,1475.275725,1558.801518,1526.375224,1500,1500,1504.417851,1500,1464.111889,1572.391754,1535.394238,1503.014306,1466.41663,1463.78264,1528.129565,1465.099635,1533.58337,1502.15769,1465.922757,1462.448072,1500,1500,1471.870435,1536.21736,1500,1533.418745,1537.677011,1500,1500,1500
Week 4,1463.78264,1459.364789,1497.223354,1475.275725,1558.801518,1526.375224,1500,1500,1504.417851,1500,1464.111889,1572.391754,1535.394238,1528.338849,1466.41663,1438.458097,1556.463263,1436.765937,1497.064929,1502.15769,1437.540648,1498.966513,1470.103844,1529.896156,1500.252544,1568.700578,1500,1533.418745,1537.677011,1500,1500,1500
Week 5,1463.78264,1459.364789,1528.030816,1444.468263,1558.801518,1526.375224,1527.828321,1500,1471.569455,1500,1435.919637,1572.391754,1535.394238,1556.531101,1510.324532,1438.458097,1556.463263,1436.765937,1497.064929,1474.329369,1437.540648,1498.966513,1448.198811,1564.660806,1500.252544,1533.935928,1500,1555.323778,1537.677011,1500,1500,1500
Week 6,1497.045703,1440.707271,1550.745746,1411.2052,1577.459035,1526.375224,1500.422027,1500,1471.569455,1500,1435.919637,1538.801639,1568.984353,1585.785717,1481.069916,1438.458097,1581.515814,1409.410817,1524.42005,1449.276818,1437.540648,1537.246226,1448.198811,1526.381093,1474.306517,1559.881954,1500,1555.323778,1565.083305,1500,1500,1500
Week 7,1497.045703,1440.707271,1550.745746,1411.2052,1577.459035,1496.241146,1532.935501,1500,1439.055981,1500,1435.919637,1501.571588,1568.984353,1585.785717,1518.299968,1438.458097,1581.515814,1388.156617,1554.554127,1449.276818,1437.540648,1558.500426,1415.637707,1526.381093,1506.867622,1559.881954,1500,1555.323778,1530.220891,1500,1500,1500
Week 8,1469.872927,1463.429427,1577.918522,1411.2052,1577.459035,1519.521049,1532.935501,1500,1439.055981,1500,1435.919637,1501.571588,1568.984353,1541.196097,1539.355249,1417.402816,1611.736905,1364.876715,1524.333037,1449.276818,1421.217373,1574.823701,1415.637707,1500.258332,1506.867622,1559.881954,1544.58962,1581.446539,1530.220891,1500,1500,1500
Week 9,1469.872927,1487.333545,1577.918522,1387.301082,1577.459035,1519.521049,1532.935501,1500,1439.055981,1500,1406.223616,1501.571588,1532.000708,1578.179743,1539.355249,1447.098838,1611.736905,1364.876715,1487.865993,1485.743862,1421.217373,1574.823701,1415.637707,1500.258332,1506.867622,1559.881954,1544.58962,1611.058782,1500.608649,1500,1500,1500
Week 10,1518.975292,1441.584556,1577.918522,1364.867377,1528.356671,1519.521049,1505.650568,1500,1439.055981,1500,1389.975342,1501.571588,1550.985499,1578.179743,1555.603522,1447.098838,1611.736905,1364.876715,1487.865993,1508.177567,1402.232582,1574.823701,1461.386696,1500.258332,1477.890005,1559.881954,1573.567236,1611.058782,1500.608649,1500,1500,1500
Week 11,1518.975292,1441.584556,1577.918522,1421.804401,1499.821993,1519.521049,1505.650568,1500,1474.69277,1500,1371.895477,1519.651453,1516.340815,1578.179743,1590.248206,1447.098838,1611.736905,1364.876715,1487.865993,1508.177567,1402.232582,1603.358379,1439.471632,1500.258332,1477.890005,1559.881954,1595.482301,1611.058782,1500.608649,1500,1500,1500
Week 12,1518.975292,1484.580583,1577.918522,1421.804401,1550.861868,1519.521049,1543.714641,1500,1447.862204,1500,1371.895477,1476.655426,1532.900478,1578.179743,1590.248206,1447.098838,1560.69703,1350.423541,1487.865993,1522.630741,1385.672919,1603.358379,1439.471632,1466.014648,1512.133688,1559.881954,1595.482301,1611.058782,1527.439215,1500,1500,1500
Week 13,1550.793854,1452.762021,1577.918522,1421.804401,1550.861868,1519.521049,1543.714641,1500,1420.131235,1500,1371.895477,1476.655426,1532.900478,1578.179743,1590.248206,1447.098838,1560.69703,1350.423541,1487.865993,1522.630741,1385.672919,1603.358379,1439.471632,1493.745617,1512.133688,1559.881954,1563.302071,1643.239012,1527.439215,1500,1500,1500
Week 14,1550.793854,1452.762021,1577.918522,1398.854428,1550.861868,1542.471022,1520.729222,1500,1464.152652,1500,1356.543907,1476.655426,1532.900478,1578.179743,1616.231979,1447.098838,1573.806263,1350.423541,1487.865993,1522.630741,1372.563686,1603.358379,1487.379991,1493.745617,1512.133688,1575.233524,1537.318298,1666.224431,1479.530855,1500,1500,1500
Week 15,1566.085283,1452.762021,1577.918522,1398.854428,1550.861868,1579.494683,1520.729222,1500,1464.152652,1500,1341.252478,1507.016894,1532.900478,1578.179743,1579.208318,1416.73737,1573.806263,1350.423541,1505.05503,1522.630741,1355.374649,1556.338649,1487.379991,1469.691675,1559.153418,1555.714009,1561.372239,1685.743946,1479.530855,1500,1500,1500
Week 16,1535.614133,1488.409258,1577.918522,1398.854428,1550.861868,1579.494683,1496.336998,1500,1464.152652,1500,1341.252478,1470.684484,1532.900478,1578.179743,1579.208318,1439.158461,1573.806263,1328.00245,1505.05503,1535.660318,1342.345072,1528.70653,1523.7124,1434.044438,1559.153418,1580.106233,1591.84339,1685.743946,1479.530855,1500,1500,1500
Week 17,1572.007218,1488.409258,1541.525436,1398.854428,1550.861868,1579.494683,1496.336998,1500,1464.152652,1500,1341.252478,1470.684484,1532.900478,1609.201804,1548.186257,1439.158461,1600.452783,1328.00245,1505.05503,1509.013797,1342.345072,1528.70653,1523.7124,1434.044438,1559.153418,1580.106233,1635.157196,1642.43014,1527.503569,1500,1500,1500
Week 18,1604.516594,1488.409258,1521.802365,1398.854428,1517.785221,1579.494683,1474.711686,1500,1464.152652,1500,1341.252478,1470.684484,1504.706549,1609.201804,1581.223458,1439.158461,1600.452783,1328.00245,1505.05503,1542.149814,1342.345072,1561.783177,1490.576383,1434.044438,1526.644042,1601.731545,1654.880267,1642.43014,1555.697498,1500,1500,1500
Week 19,1576.942237,1488.409258,1521.802365,1398.854428,1517.785221,1557.03591,1474.711686,1500,1464.152652,1500,1341.252478,1470.684484,1504.706549,1635.373935,1553.126299,1439.158461,1628.549942,1328.00245,1505.05503,1542.149814,1342.345072,1561.783177,1490.576383,1434.044438,1526.644042,1601.731545,1677.339039,1670.004497,1529.525367,1500,1500,1500
Week 20,1576.942237,1488.409258,1521.802365,1398.854428,1517.785221,1557.03591,1474.711686,1500,1464.152652,1500,1341.252478,1470.684484,1504.706549,1608.897365,1553.126299,1439.158461,1602.651214,1328.00245,1505.05503,1542.149814,1342.345072,1561.783177,1490.576383,1434.044438,1526.644042,1601.731545,1703.81561,1695.903225,1529.525367,1500,1500,1500
Week 21,1576.942237,1488.409258,1521.802365,1398.854428,1517.785221,1557.03591,1474.711686,1500,1464.152652,1500,1341.252478,1470.684484,1504.706549,1608.897365,1553.126299,1439.158461,1602.651214,1328.00245,1505.05503,1542.149814,1342.345072,1561.783177,1490.576383,1434.044438,1526.644042,1601.731545,1733.346421,1666.372414,1529.525367,1500,1500,1500
Week 22,1576.942237,1488.409258,1552.643326,1388.564884,1517.785221,1557.03591,1518.591571,1500,1464.152652,1500,1327.356088,1470.684484,1504.706549,1608.897365,1553.126299,1439.158461,1612.940758,1328.00245,1518.95142,1542.149814,1342.345072,1517.903292,1490.576383,1434.044438,1526.644042,1601.731545,1733.346421,1666.372414,1498.684406,1500,1500,1500
Week 23,1614.812381,1466.415758,1575.357289,1430.927256,1491.183567,1577.897861,1518.591571,1461.685743,1438.30222,1457.637628,1327.356088,1470.684484,1486.797154,1630.890865,1553.126299,1416.444498,1612.940758,1315.945302,1531.008568,1542.149814,1342.345072,1517.903292,1490.576383,1472.358695,1553.245696,1563.861402,1733.346421,1684.281809,1524.534838,1500,1500,1500
Week 24,1614.812381,1447.432258,1575.357289,1430.927256,1514.150497,1596.652388,1575.010705,1461.685743,1415.335289,1480.16416,1315.273316,1470.684484,1511.105093,1630.890865,1590.630295,1416.444498,1575.436763,1315.945302,1531.008568,1542.149814,1319.818539,1529.986064,1471.821857,1472.358695,1572.229197,1563.861402,1733.346421,1627.862675,1539.750883,1500,1500,1500
Week 25,1614.812381,1486.685359,1575.357289,1465.620567,1479.365866,1596.652388,1575.010705,1461.685743,1393.979389,1480.16416,1315.273316,1470.684484,1545.889724,1594.631327,1590.630295,1438.453847,1611.696301,1293.935953,1531.008568,1563.505715,1308.472843,1529.986064,1432.568756,1472.358695,1583.574893,1563.861402,1689.762483,1671.446614,1539.750883,1500,1500,1500
Week 26,1575.938649,1499.800895,1590.762533,1410.201304,1479.365866,1596.652388,1543.457417,1461.685743,1420.903184,1445.802034,1302.157779,1470.684484,1545.889724,1633.505058,1622.183583,1438.453847,1611.696301,1293.935953,1531.008568,1563.505715,1363.892105,1500.566356,1417.163512,1506.720822,1583.574893,1593.28111,1689.762483,1671.446614,1539.750883,1500,1500,1500
Week 27,1575.938649,1499.800895,1590.762533,1410.201304,1479.365866,1554.751612,1585.358193,1439.874958,1420.903184,1445.802034,1302.157779,1457.79665,1545.889724,1646.392892,1622.183583,1438.453847,1611.696301,1293.935953,1552.819353,1601.464685,1407.940771,1456.517691,1408.593644,1506.720822,1583.574893,1555.322139,1689.762483,1680.016482,1539.750883,1500,1500,1500
Week 28,1524.874289,1536.044243,1590.762533,1461.265664,1479.365866,1554.751612,1600.874575,1439.874958,1420.903184,1430.285651,1302.157779,1441.421775,1521.800318,1670.482298,1638.558458,1391.482024,1611.696301,1293.935953,1552.819353,1601.464685,1407.940771,1446.949457,1408.593644,1483.861259,1583.574893,1578.181702,1699.330716,1696.562909,1523.204456,1463.756652,1500,1500
Week 29,1524.874289,1536.044243,1590.762533,1461.265664,1479.365866,1554.751612,1600.874575,1439.874958,1420.903184,1446.273111,1302.157779,1441.421775,1504.173194,1670.482298,1656.185582,1391.482024,1626.330413,1277.948493,1552.819353,1601.464685,1393.306658,1446.949457,1391.369073,1470.838452,1631.127844,1595.406273,1651.777765,1709.585716,1523.204456,1463.756652,1500,1500
Week 30,1490.106335,1570.812197,1590.762533,1461.265664,1479.365866,1554.751612,1600.874575,1406.803842,1420.903184,1446.273111,1287.392688,1441.421775,1518.938285,1680.317897,1656.185582,1381.646425,1626.330413,1277.948493,1552.819353,1614.981752,1393.306658,1433.432391,1447.210208,1470.838452,1575.286709,1572.371551,1674.812487,1709.585716,1523.204456,1463.756652,1500,1500
Week 31,1466.799396,1570.812197,1614.069472,1461.265664,1479.365866,1554.751612,1544.587549,1463.090869,1420.903184,1446.273111,1282.161451,1416.22831,1544.13175,1685.549134,1663.502723,1374.329284,1631.403113,1272.875793,1567.02689,1614.981752,1379.099122,1433.432391,1485.289951,1432.758709,1575.286709,1572.371551,1674.812487,1709.585716,1523.204456,1463.756652,1500,1500
Week 32,1466.799396,1570.812197,1628.775103,1446.560033,1479.365866,1554.751612,1567.98394,1463.090869,1395.598978,1471.577317,1277.951975,1439.778228,1544.13175,1685.549134,1667.7122,1350.779367,1665.496014,1250.999478,1522.493702,1580.888852,1400.975438,1477.965579,1485.289951,1417.262667,1590.782751,1626.629619,1674.812487,1655.327649,1523.204456,1463.756652,1500,1500
Week 33,1466.799396,1541.875789,1657.711511,1446.560033,1479.365866,1579.218529,1567.98394,1463.090869,1395.598978,1447.1104,1277.951975,1439.778228,1559.563143,1711.17133,1642.090003,1335.347973,1677.772697,1243.89577,1522.493702,1587.99256,1400.975438,1465.688896,1485.289951,1417.262667,1632.116379,1626.629619,1674.812487,1613.994021,1523.204456,1463.756652,1500,1500
Week 34,1466.799396,1565.520462,1673.095796,1422.91536,1479.365866,1607.056053,1583.802692,1463.090869,1379.780226,1408.941736,1277.951975,1439.778228,1559.563143,1711.17133,1642.090003,1335.347973,1621.290666,1243.89577,1578.975733,1602.62267,1386.345327,1465.688896,1485.289951,1406.575117,1660.153707,1598.592291,1685.500037,1613.994021,1523.204456,1448.372367,1500,1500
Week 35,1454.051891,1509.371923,1673.095796,1454.620887,1479.365866,1619.427295,1594.896301,1485.711628,1379.780226,1386.320977,1277.951975,1417.049822,1559.563143,1711.17133,1642.090003,1335.347973,1621.290666,1243.89577,1615.985143,1565.61326,1373.974085,1465.688896,1508.018357,1462.723656,1660.153707,1598.592291,1698.247542,1613.994021,1523.204456,1416.66684,1500,1500
Week 36,1454.051891,1494.292803,1688.174916,1454.620887,1479.365866,1647.202033,1567.121563,1485.711628,1379.780226,1386.320977,1277.951975,1417.049822,1559.563143,1671.406665,1681.854668,1335.347973,1590.065299,1243.89577,1647.21051,1565.61326,1373.974085,1465.688896,1508.018357,1462.723656,1619.659589,1639.086408,1698.247542,1613.994021,1523.204456,1416.66684,1500,1500
Week 37,1454.051891,1494.292803,1688.174916,1414.384675,1479.365866,1647.202033,1539.824037,1485.711628,1379.780226,1386.320977,1277.951975,1417.049822,1541.667471,1671.406665,1681.854668,1335.347973,1590.065299,1243.89577,1677.879692,1603.480426,1414.210296,1432.616,1508.018357,1495.796552,1581.792423,1608.417227,1716.143215,1641.291546,1523.204456,1416.66684,1500,1500
Week 38,1454.051891,1494.292803,1709.81451,1414.384675,1479.365866,1676.96436,1539.824037,1485.711628,1379.780226,1386.320977,1277.951975,1417.049822,1541.667471,1703.231485,1655.169509,1335.347973,1590.065299,1243.89577,1646.054871,1581.840832,1414.210296,1432.616,1508.018357,1495.796552,1581.792423,1608.417227,1742.828374,1611.52922,1523.204456,1416.66684,1500,1500
Week 39,1454.051891,1494.292803,1743.86312,1414.384675,1479.365866,1649.520206,1539.824037,1485.711628,1379.780226,1386.320977,1277.951975,1417.049822,1541.667471,1730.675639,1655.169509,1335.347973,1590.065299,1243.89577,1646.054871,1581.840832,1414.210296,1432.616,1508.018357,1495.796552,1581.792423,1608.417227,1708.779764,1611.52922,1523.204456,1416.66684,1500,1500
